time,id,PM1,PM25,PM10,CO2,temp1,temp2,temp3,press1,press2,press3,hum1,hum2,hum3
2024-05-15 11:00:00+00:00,CNRS_3,6.06,8.74,19.32,502.82,45.55,46.38,45.55,1004.15,1003.12,1004.14,25.5,25.19,25.5
2024-05-15 12:00:00+00:00,CNRS_3,5.16,7.64,16.77,533.1,41.93,43.0,41.93,1003.92,1002.94,1003.91,26.63,26.16,26.63
2024-05-15 13:00:00+00:00,CNRS_3,4.98,7.36,15.97,616.27,41.3,43.15,41.3,1003.73,1002.74,1003.73,26.88,26.14,26.88
2024-05-15 14:00:00+00:00,CNRS_3,11.04,20.3,57.81,574.0,41.84,43.29,41.84,1003.54,1002.59,1003.54,26.81,26.27,26.81
2024-05-15 15:00:00+00:00,CNRS_3,7.66,11.98,25.95,528.13,41.21,42.22,41.21,1003.65,1002.73,1003.64,27.02,26.66,27.02
2024-05-15 16:00:00+00:00,CNRS_3,5.74,8.77,17.37,558.1,39.45,40.89,39.45,1003.71,1002.8,1003.71,28.26,27.71,28.27
2024-05-15 17:00:00+00:00,CNRS_3,3.48,5.06,9.98,547.33,37.49,39.51,37.49,1003.82,1002.94,1003.83,29.18,28.35,29.19
2024-05-15 18:00:00+00:00,CNRS_3,2.32,3.3,5.14,504.57,37.05,39.1,37.05,1004.34,1003.45,1004.33,28.9,28.09,28.91
2024-05-15 19:00:00+00:00,CNRS_3,2.15,2.73,3.71,480.43,37.64,38.73,37.64,1004.51,1003.61,1004.51,28.39,28.01,28.4
2024-05-15 20:00:00+00:00,CNRS_3,2.4,3.07,4.29,466.37,38.64,39.78,38.64,1005.0,1004.09,1005.01,27.84,27.43,27.85
2024-05-15 21:00:00+00:00,CNRS_3,2.55,3.21,4.35,448.4,39.03,40.22,39.03,1005.44,1004.5,1005.43,27.64,27.21,27.65
2024-05-15 22:00:00+00:00,CNRS_3,2.65,3.44,4.59,440.2,39.26,40.41,39.26,1005.55,1004.61,1005.54,27.47,27.06,27.47
2024-05-15 23:00:00+00:00,CNRS_3,2.72,3.5,4.43,434.97,39.39,40.52,39.38,1005.37,1004.44,1005.37,27.4,26.99,27.41
2024-05-16 00:00:00+00:00,CNRS_3,2.69,3.35,4.45,432.17,39.62,40.77,39.62,1004.99,1004.01,1004.98,27.27,26.86,27.28
2024-05-16 01:00:00+00:00,CNRS_3,2.23,2.91,3.57,428.07,39.77,40.88,39.77,1004.52,1003.56,1004.52,27.08,26.68,27.08
2024-05-16 02:00:00+00:00,CNRS_3,1.81,2.51,3.01,417.37,39.61,40.69,39.61,1004.13,1003.2,1004.13,27.01,26.63,27.02
2024-05-16 03:00:00+00:00,CNRS_3,1.7,2.17,3.16,421.1,39.19,40.3,39.19,1003.75,1002.85,1003.73,27.03,26.63,27.04
2024-05-16 04:00:00+00:00,CNRS_3,1.73,2.21,2.79,415.0,38.8,39.92,38.8,1003.63,1002.76,1003.63,27.03,26.62,27.03
2024-05-16 05:00:00+00:00,CNRS_3,1.81,2.31,3.01,417.9,38.73,39.84,38.73,1003.67,1002.77,1003.66,26.93,26.52,26.94
2024-05-16 06:00:00+00:00,CNRS_3,1.42,1.84,2.19,419.6,38.83,39.92,38.83,1004.08,1003.16,1004.08,26.81,26.4,26.82
2024-05-16 07:00:00+00:00,CNRS_3,1.18,1.29,1.45,414.8,38.84,39.99,38.85,1004.25,1003.33,1004.25,26.73,26.3,26.74
2024-05-16 08:00:00+00:00,CNRS_3,1.18,1.34,2.03,425.7,38.97,40.25,38.97,1004.33,1003.44,1004.34,26.65,26.16,26.65
2024-05-16 09:00:00+00:00,CNRS_3,1.44,2.03,3.8,580.67,39.35,41.44,39.35,1004.33,1003.45,1004.33,26.86,26.07,26.86
2024-05-16 10:00:00+00:00,CNRS_3,1.99,3.05,6.48,612.13,44.34,45.65,44.34,1004.47,1003.55,1004.45,25.13,24.73,25.14
2024-05-16 11:00:00+00:00,CNRS_3,2.25,4.04,9.68,496.47,45.62,46.43,45.62,1004.53,1003.62,1004.53,23.92,23.69,23.93
2024-05-16 12:00:00+00:00,CNRS_3,2.02,3.34,8.63,604.9,44.03,44.9,44.03,1004.32,1003.42,1004.31,24.89,24.62,24.9
2024-05-16 13:00:00+00:00,CNRS_3,1.82,2.93,7.46,525.26,45.31,46.06,45.3,1004.19,1003.3,1004.19,24.56,24.34,24.57
2024-05-16 13:29:51.833619+00:00,CNRS_3,1.93,2.84,6.74,515.6,42.46,43.44,42.47,1004.23,1003.41,1004.23,25.9,25.59,25.91
